Year,Month,Date (mm/dd/yyyy), Amount ,Category (Select),Subcategory (Select),Store,Credit Card,Comments,,,
2020,June,6/01/20, $25.76 ,Mindful Spending,Restaurant,Harambe Restaurant,8501,,,,
2020,June,6/02/20, $83.99 ,Fixed,Groceries,Popeye's Suplements,8501,,,,
2020,June,6/02/20, $10.23 ,Fixed,Medicine,University Pharmacy,1095,,,,
2020,June,6/06/20, $7.54 ,Mindful Spending,Restaurant,Tim Hortons,8501,,,,
2020,June,6/06/20, $27.23 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,June,6/08/20, $91.25 ,Fixed,Groceries,Jason's No Frills,8501,,,,
2020,June,6/09/20, $20.50 ,Mindful Spending,Restaurant,La Taqueria Pinche Taco,8501,,,,
2020,June,6/12/20, $26.50 ,Mindful Spending,Restaurant,Trattoria,8501,,,,
2020,June,6/13/20, $37.50 ,Fixed,Medical Insurance (Ext),MSP,8501,,,,
2020,June,6/13/20, $16.77 ,Fixed,Groceries,Sungiven Foods,1095,,,,
2020,June,6/14/20, $53.80 ,Fixed,Phone,FIDO Mobile,8501,,,,
2020,June,6/14/20, $61.60 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,June,6/16/20, $64.72 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
2020,June,6/17/20, $49.11 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,June,6/20/20, $66.51 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,June,6/21/20, $10.89 ,Mindful Spending,Restaurant,Uncle Fatih's Pizza,8501,,,,
2020,June,6/21/20, $63.97 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,June,6/23/20, $24.86 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,June,6/23/20, $28.88 ,Fixed,Medicine,University Pharmacy,8501,,,,
2020,June,6/23/20, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2020,June,6/23/20, $10.95 ,Mindful Spending,Restaurant,Sushi,1095,,,,
2020,June,6/25/20, $81.13 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,June,6/25/20, $89.09 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,June,6/27/20, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2020,June,6/27/20, $11.59 ,Fixed,Groceries,BC Liquor Store,1095,,,,
2020,June,6/29/20, $33.42 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,June,6/29/20, $96.47 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,June,6/30/20, $28.77 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/03/20, $56.00 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/03/20, $30.50 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,July,7/05/20, $6.72 ,Mindful Spending,Home,Your Dollar Store,1095,,,,
2020,July,7/06/20, $33.10 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/07/20, $64.65 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,July,7/09/20, $26.72 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/11/20, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2020,July,7/11/20, $37.50 ,Fixed,Medical Insurance (Ext),MSP,8501,,,,
2020,July,7/11/20, $10.99 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,July,7/12/20, $13.43 ,Mindful Spending,Restaurant,In N Out Burger,8501,Credit Card Cut,,,
2020,July,7/13/20, $15.39 ,Mindful Spending,Restaurant,Escape from NY Pizza,8501,,,,
2020,July,7/13/20, $13.85 ,Mindful Spending,Restaurant,SABELLA & LATORRE,8501,,,,
2020,July,7/13/20, $9.13 ,Fixed,Groceries,Safeway,8501,,,,
2020,July,7/14/20, $7.86 ,Fixed,Groceries,Safeway,8501,,,,
2020,July,7/14/20, $26.15 ,Mindful Spending,Restaurant,Burma Superstar Oakla,8501,,,,
2020,July,7/14/20, $50.59 ,Fixed,Phone,FIDO Mobile,8501,,,,
2020,July,7/14/20, $61.60 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,July,7/15/20, $21.10 ,Mindful Spending,Restaurant,Burger King,8501,,,,
2020,July,7/15/20, $6.54 ,Mindful Spending,Other,Uber Trip,8501,,,,
2020,July,7/16/20, $60.53 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/16/20, $53.30 ,Mindful Spending,Other,Uber Trip,8501,,,,
2020,July,7/16/20, $21.26 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,July,7/17/20, $27.99 ,Mindful Spending,Home,Winners,1095,,,,
2020,July,7/18/20, $14.70 ,Mindful Spending,Restaurant,Virtuos Pie,8501,,,,
2020,July,7/18/20, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2020,July,7/18/20, $85.28 ,Fixed,Groceries,No Frills,1095,,,,
2020,July,7/18/20, $9.99 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,July,7/19/20, $29.51 ,Mindful Spending,Other,Shopper's Drug Mart,1095,,,,
2020,July,7/19/20, $114.15 ,Fixed,Groceries,No Frills,1095,Credit Card Cut,,,
2020,July,7/20/20, $106.40 ,Mindful Spending,Restaurant,The Raven & The Bear,8501,,,,
2020,July,7/20/20, $21.22 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/21/20, $10.22 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/22/20, $23.38 ,Fixed,Groceries,Save on Foods,8501,,,,
2020,July,7/22/20, $28.94 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,July,7/23/20, $22.94 ,Mindful Spending,Restaurant,Olympia Pizza,8501,Credit Card Cut,,,
2020,July,7/24/20, $43.73 ,Fixed,Groceries,No Frills,1095,,,,
2020,July,7/29/20, $32.48 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,August,8/01/20, $45.78 ,Fixed,Groceries,No Frills,1095,,,,
2020,August,8/02/20, $16.58 ,Fixed,Groceries,Laurelles's Fine Foods,1095,,,,
2020,August,8/06/20, $15.58 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,August,8/07/20, $9.99 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,August,8/07/20, $31.33 ,Fixed,Medicine,University Pharmacy,1095,,,,
2020,August,8/12/20, $44.81 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,August,8/14/20, $61.60 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,August,8/15/20, $90.30 ,Fixed,Groceries,No Frills,1095,Credit Card Cut,,,
2020,August,8/22/20, $15.03 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,August,8/22/20, $42.29 ,Fixed,Groceries,No Frills,1095,,,,
2020,August,8/26/20, $10.07 ,Mindful Spending,Other,Shoppers Drug Mart,1095,,,,
2020,August,8/26/20, $29.69 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,August,8/30/20, $53.88 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,September,9/05/20, $71.85 ,Fixed,Groceries,No Frills,1095,,,,
2020,September,9/06/20, $11.77 ,Mindful Spending,Home,Your Dollar Store with More,1095,,,,
2020,September,9/12/20, $90.80 ,Fixed,Groceries,No Frills,1095,,,,
2020,September,9/13/20, $13.44 ,Mindful Spending,Home,Your Dollar Store with More,1095,,,,
2020,September,9/14/20, $17.42 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,September,9/14/20, $61.60 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,September,9/19/20, $53.95 ,Fixed,Groceries,No Frills,1095,Credit Card Cut,,,
2020,September,9/20/20, $19.53 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,September,9/26/20, $49.49 ,Fixed,Groceries,No Frills,1095,,,,
2020,September,9/26/20, $10.99 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/01/20, $23.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/01/20," $1,040.00 ",Fixed,Rent,UBC Properties,9880,,,,
2020,October,10/02/20, $12.02 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/03/20, $4.57 ,Mindful Spending,Restaurant,BLENZ WESBROOK VANCOUVER BC,7017,,,,
2020,October,10/07/20, $14.69 ,Mindful Spending,Home,AMZN Mktp CA*MK8HY20I0,7017,,,,
2020,October,10/09/20, $4.99 ,Subscription Services,Spotify,Spotify P11A9C8BBB,7017,,,,
2020,October,10/09/20, $46.06 ,Mindful Spending,Entertainment,EVENTBRITE/SHATTEREDTH,7017,,,,
2020,October,10/10/20, $22.01 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/10/20, $26.00 ,Fixed,Transit,Compass-Translink,7017,,,,
2020,October,10/10/20, $7.64 ,Mindful Spending,Restaurant,7 ELEVEN STORE #32893,7017,,,,
2020,October,10/10/20, $33.21 ,Mindful Spending,Restaurant,WILDTALE VANCOUVER BC,7017,,,,
2020,October,10/11/20, $6.63 ,Mindful Spending,Other,EvoCarShare Burnaby BC,7017,,,,
2020,October,10/14/20, $98.91 ,Fixed,Groceries,No Frills,1095,,,,
2020,October,10/14/20, $61.60 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,October,10/14/20, $15.73 ,Mindful Spending,Restaurant,Petra Café,1095,,,,
2020,October,10/16/20, $21.31 ,Fixed,Medicine,University Pharmacy,1095,,,,
2020,October,10/16/20, $15.24 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/16/20, $12.99 ,Mindful Spending,Home,AMZN Mktp CA*2T4MW8CP2,7017,,,,
2020,October,10/17/20, $25.06 ,Mindful Spending,Restaurant,CACTUS CLUB COAL HARBO,7017,,,,
2020,October,10/21/20, $24.65 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/24/20, $19.59 ,Mindful Spending,Clothes,OLD NAVY 4218,7017,,,,
2020,October,10/24/20, $117.37 ,Fixed,Groceries,No Frills,1095,,,,
2020,October,10/30/20, $16.79 ,Mindful Spending,Home,AMZN Mktp CA*288VD6JG1,7017,,,,
2020,October,10/30/20, $191.52 ,Subscription Services,Grammarly,GRAMMARLY COXSAMP3J ,7017,,,,
2020,October,10/30/20, $19.17 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/31/20, $15.28 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,October,10/31/20, $20.00 ,Fixed,Transit,Compass-Translink,7017,,,,
2020,October,10/31/20, $24.58 ,Mindful Spending,Restaurant,MILA RESTAURANT,7017,,,,
2020,October,10/31/20, $100.58 ,Mindful Spending,Clothes,UNIQLO RICHMOND #2005,7017,,,,
2020,November,11/01/20," $1,040.00 ",Fixed,Rent,UBC Properties,9880,,,,
2020,November,11/03/20, $340.00 ,Mindful Spending,Gov. Services,CITIZEN&IMM-EAPPS ENLI,7017,PGWP,,,
2020,November,11/06/20, $71.49 ,Mindful Spending,Other,EvoCarShare Burnaby BC,7017,Inno Foods Interview,,,
2020,November,11/06/20, $96.50 ,Fixed,Groceries,No Frills,1095,,,,
2020,November,11/06/20, $30.25 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,November,11/08/20, $3.94 ,Mindful Spending,Restaurant,ROCANINI COFFEE ROASTERS VANCOUVER BC,7017,,,,
2020,November,11/08/20, $8.93 ,Mindful Spending,Other,EvoCarShare Burnaby BC,7017,,,,
2020,November,11/09/20, $4.99 ,Subscription Services,Spotify,"	Spotify P1214B466F",7017,,,,
2020,November,11/09/20, $8.95 ,Mindful Spending,Other,Stationary 2000,7017,,,,
2020,November,11/10/20, $17.49 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,November,11/12/20, $35.14 ,Fixed,Groceries,Save on Foods,7017,,,,
2020,November,11/13/20, $40.00 ,Fixed,Utilities,Coinamatic,7017,,,,
2020,November,11/14/20, $61.60 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,November,11/14/20, $29.69 ,Mindful Spending,Home,Amazon MKT Place,7017,,,,
2020,November,11/15/20, $31.77 ,Fixed,Groceries,SunGiven Foods,1095,,,,
2020,November,11/15/20, $23.17 ,Mindful Spending,Restaurant,Donair Dude,1095,,,,
2020,November,11/16/20, $10.00 ,Fixed,Transit,Compass-Translink,7017,,,,
